strain	species	species_match	contig_count	N50	largest_contig	total_size	ambiguous_bases	QC_warnings	ST	virulence_score	resistance_score	num_resistance_classes	num_resistance_genes	Yersiniabactin	YbST	Colibactin	CbST	Aerobactin	AbST	Salmochelin	SmST	RmpADC	RmST	rmpA2	wzi	K_locus	K_type	K_locus_problems	K_locus_confidence	K_locus_identity	K_locus_missing_genes	O_locus	O_type	O_locus_problems	O_locus_confidence	O_locus_identity	O_locus_missing_genes	AGly_acquired	Col_acquired	Fcyn_acquired	Flq_acquired	Gly_acquired	MLS_acquired	Phe_acquired	Rif_acquired	Sul_acquired	Tet_acquired	Tgc_acquired	Tmt_acquired	Bla_acquired	Bla_inhR_acquired	Bla_ESBL_acquired	Bla_ESBL_inhR_acquired	Bla_Carb_acquired	Bla_chr	SHV_mutations	Omp_mutations	Col_mutations	Flq_mutations	truncated_resistance_hits	spurious_resistance_hits	Chr_ST	gapA	infB	mdh	pgi	phoE	rpoB	tonB	ybtS	ybtX	ybtQ	ybtP	ybtA	irp2	irp1	ybtU	ybtT	ybtE	fyuA	clbA	clbB	clbC	clbD	clbE	clbF	clbG	clbH	clbI	clbL	clbM	clbN	clbO	clbP	clbQ	iucA	iucB	iucC	iucD	iutA	iroB	iroC	iroD	iroN	rmpA	rmpD	rmpC	spurious_virulence_hits
ERR1205073	Klebsiella pneumoniae	strong	111	283266	691789	5535709	no	-	ST307	0	2	9	13	-	0	-	0	-	0	-	0	-	0	-	wzi173	KL102	unknown (KL102)	none	Very high	99.27%		O1/O2v2	O2afg	none	Very high	98.45%		aac(3)-IIa.v1^;aac(6')-Ib-cr.v2;strA.v1^;strB.v1	-	-	qnrB1.v2^	-	-	CatB4.v1?	-	sul2	tet(A).v1	-	dfrA14.v2*	OXA-1;TEM-1D.v1^	-	CTX-M-15	-	OXA-48	SHV-28^	-	-	-	GyrA-83I;ParC-80I	-	-	ST307	4	1	2	52	1	1	7	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ERR1205076	Klebsiella pneumoniae	strong	70	349539	733388	5293927	no	-	ST37	0	0	0	0	-	0	-	0	-	0	-	0	-	0	-	wzi50	KL15	K15	none	Very high	99.78%		O4	O4	none	Very high	99.34%		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	SHV-11^	35Q	-	-	-	-	-	ST37	2	9	2	1	13	1	16	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ERR1216948	Escherichia coli / Shigella	strong	488	170547	388026	5576434	no	-	NA	4	1	8	9	ybt unknown	0	-	0	iuc unknown	0	-	0	-	0	-	-	unknown (KL156-D1)	unknown (KL156-D1)	?-*	None	91.24%	KL156-D1_06_wzx,KL156-D1_07,KL156-D1_08_wfgD,KL156-D1_09_wzy,KL156-D1_10,KL156-D1_11_arnC,KL156-D1_12,KL156-D1_13,KL156-D1_14,KL156-D1_15	unknown (OL102)	unknown (OL102)	?-	None	73.25%	OL102_01_rfbB,OL102_02_rfbA,OL102_03_rfbD,OL102_04_rfbC,OL102_05_wbbL,OL102_06_rhamnan,OL102_07_wzm,OL102_08_wzt	aac(6')-Ib-cr.v2;aadA5	-	-	-	-	mphA	CatB4.v1?	-	sul1	tet(A).v1	-	dfrA17	OXA-1	-	CTX-M-15	-	-	-	-	-	-	-	-	-	NA	-	-	-	-	-	-	-	27	26	41	43	26	62	56	24	27	35	82	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	29*	12*	28*	-	61*	-	-	-	-	-	-	-	iucD_35*-61%;iucD_35*-0%
ERR1216949	Klebsiella pneumoniae	strong	75	350156	1012936	5470749	no	-	ST14	0	1	7	8	-	0	-	0	-	0	-	0	-	0	-	wzi2	KL2	K2	none	Very high	99.75%		O1/O2v1	O1ab	-	High	99.96%	O1/O2v1_06_wbbO	strA.v1^;strB.v1	-	-	qnrB1.v2^	-	-	-	-	sul2	tet(A).v1	-	dfrA14.v2*	TEM-1D.v1^	-	CTX-M-15	-	-	SHV-28^	-	-	-	GyrA-87G	-	-	ST14	1	6	1	1	1	1	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ERR1216950	Klebsiella pneumoniae	strong	84	264134	715735	5442094	no	-	ST628	0	1	8	11	-	0	-	0	-	0	-	0	-	0	-	wzi426	KL123	unknown (KL123)	*	Very high	95.31%		O3b	O3b	none	Very high	99.38%		aac(6')-Ib-cr.v2;strA.v1^;strB.v1	-	-	qnrB1.v2^	-	-	CatB4.v1?	-	sul2	tet(A).v1	-	dfrA14.v2*	OXA-1;TEM-1D.v1^	-	CTX-M-15	-	-	SHV-1	-	-	-	-	-	fosA7*?-0%	ST628	2	60	11	1	4	8	24	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ERR1216951	Klebsiella pneumoniae	strong	126	303435	705401	5523226	no	-	ST14	0	3	10	14	-	0	-	0	-	0	-	0	-	0	-	wzi16	KL16	K16	?-	Good	99.41%	KL16_06_wzc	O1/O2v1	O1ab	?-	Good	98.55%	O1/O2v1_04_glf	aac(3)-IIa.v1^;aac(6')-Ib-cr.v2;aph3-Ia.v1^;strA.v1*;strB.v1*	-	-	qnrB1.v2^	-	mphA	CatB4.v1?	-	sul2	-	-	dfrA14.v2*	OXA-1;TEM-1D.v1^	-	CTX-M-15	-	OXA-48	SHV-28^	-	-	MgrB-49%	-	-	-	ST14	1	6	1	1	1	1	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ERR1216954	Klebsiella pneumoniae	strong	131	225241	453978	5601531	no	-	ST14	1	1	6	6	ybt 9; ICEKp3	174-1LV	-	0	-	0	-	0	-	0	-	wzi2	KL2	K2	none	Very high	99.75%		O1/O2v1	O1ab	none	Very high	99.99%		strA.v1^;strB.v1	-	-	-	-	-	-	-	sul2	tet(D)	-	dfrA14.v2*	-	-	CTX-M-15	-	-	SHV-28^	-	OmpK35-17%	-	GyrA-83Y	-	-	ST14	1	6	1	1	1	1	1	5	11	6	5	1	321	15	9	5	5	11	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ERR1216955	Klebsiella pneumoniae	strong	69	396244	549497	5245681	no	-	ST867	0	0	0	0	-	0	-	0	-	0	-	0	-	0	-	wzi59	KL3	K3	none	Very high	99.61%		O1/O2v2	O2afg	none	Very high	98.42%		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	SHV-144^	146V;35Q	-	-	-	-	-	ST867	2	1	99	6	1	1	129	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ERR1216956	Klebsiella pneumoniae	strong	238	293852	400451	5787742	no	-	ST101	1	3	9	11	ybt 9; ICEKp3	183	-	0	-	0	-	0	-	0	-	wzi137	KL17	K17	?	Good	100.00%		O1/O2v1	O1ab	none	Very high	98.02%		aac(3)-IIa.v1^;aac(6')-Ib-cr.v2;aadA*	-	-	-	-	-	CatB4.v1?	-	-	tet(D)	-	dfrA14.v2*	OXA-1;OXA-9.v1;TEM-1D.v1^	-	CTX-M-15	-	OXA-48	SHV-1^	-	OmpK35-17%;OmpK36GD	MgrB-62%	GyrA-83Y;GyrA-87N;ParC-80I	-	-	ST101	2	6	1	5	4	1	6	5	11	6	5	1	25	37	9	5	5	11	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ERR1216957	Klebsiella pneumoniae	strong	143	277301	828692	5512497	no	-	ST3640	0	0	0	0	-	0	-	0	-	0	-	0	-	0	-	-	KL64	K64	none	Very high	99.13%		O1/O2v1	O1ab	none	Very high	99.33%		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	SHV-40	35Q	-	-	-	-	-	ST3640	2	3	1	1	4	4	23	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ERR1216958	Klebsiella pneumoniae	strong	110	298756	593034	5645631	no	-	ST307	0	2	7	9	-	0	-	0	-	0	-	0	-	0	-	wzi173	KL102	unknown (KL102)	none	Very high	99.27%		O1/O2v2	O2afg	none	Very high	98.45%		aac(3)-IIa.v1^;strA.v1^;strB.v1	-	-	qnrB1.v2^	-	-	-	-	sul2	-	-	dfrA14.v2*	TEM-1D.v1^	-	CTX-M-15	-	OXA-48	SHV-28^	-	-	-	GyrA-83I;ParC-80I	-	-	ST307	4	1	2	52	1	1	7	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ERR1216959	Klebsiella pneumoniae	strong	109	311271	557470	5629975	no	-	ST17	1	2	5	8	ybt 15; ICEKp11	230	-	0	-	0	-	0	-	0	-	wzi141	KL25	K25	-	High	99.17%	KL25_09_wfeD	O5	O5	*	High	94.20%		ant(2'')-Ia;aph(3')-VIb*;strA.v1;strA.v1;strB.v1	-	-	-	-	-	-	-	sul1	-	-	-	-	-	CTX-M-14^	-	OXA-48	-	-	OmpK35-27%	-	GyrA-83Y	SHV-129?-81%	-	ST17	2	1	1	1	4	4	4	6	15	22	4	1	37	34	14	1	4	17	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ERR1216961	Klebsiella pneumoniae	strong	144	140406	445743	5191434	no	-	ST299	0	0	0	0	-	0	-	0	-	0	-	0	-	0	-	wzi7	KL7	K7	?	Good	98.54%		O1/O2v1	O1ab	none	Very high	98.60%		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	SHV-1	-	-	-	-	-	-	ST299	2	10	1	1	56	24	31	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ERR1216962	Klebsiella pneumoniae	strong	118	237682	804218	5577495	no	-	ST258	0	3	8	8	-	0	-	0	-	0	-	0	-	0	-	wzi29	KL106	unknown (KL106)	?	Good	99.96%		O1/O2v2	O2afg	none	Very high	98.47%		aac(6')-Ib'.v1;aadA2^;aph3-Ia.v1^	-	-	-	-	mphA	catA1^	-	sul1	-	-	dfrA12	-	-	-	-	KPC-2	SHV-11	35Q	OmpK35-25%	MgrB-79%	GyrA-83I;ParC-80I	-	-	ST258	3	3	1	1	1	1	79	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ERR1216963	Klebsiella pneumoniae	strong	111	240517	650678	5598419	no	-	ST15	0	2	8	11	-	0	-	0	-	0	-	0	-	0	-	wzi93	KL112	unknown (KL112)	none	Very high	98.65%		O1/O2v1	O1ab	none	Very high	98.52%		aac(3)-IIa.v1^;aac(6')-Ib-cr.v2;strA.v1^;strB.v1	-	-	-	-	-	CatB4.v1?	-	sul2	-	-	dfrA14.v2*	OXA-1;TEM-1D.v1^	-	CTX-M-15	-	OXA-48	SHV-28^	-	-	-	GyrA-83F;GyrA-87A;ParC-80I	-	-	ST15	1	1	1	1	1	1	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ERR1216964	Klebsiella variicola subsp. variicola	strong	117	767360	1544047	5687114	no	-	ST347	0	0	0	0	-	0	-	0	-	0	-	0	-	0	-	-	KL134	unknown (KL134)	*	Very high	98.06%		O3/O3a	O3/O3a	none	Very high	99.30%		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	LEN-19	-	-	-	-	-	-	ST347	16	24	21	27	47	22	67	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ERR1216965	Klebsiella pneumoniae	strong	109	270342	726818	5463691	no	-	ST11	1	2	7	10	ybt 9; ICEKp3	183	-	0	-	0	-	0	-	0	-	wzi50	KL15	K15	none	Very high	99.83%		O4	O4	none	Very high	99.66%		aac(6')-Ib;aadA2^;aph3-Ia.v1^;rmtF	-	-	qnrB1.v1	-	mphA	-	-	sul1	-	-	dfrA12	-	-	CTX-M-15	-	NDM-1	SHV-11	35Q	-	-	GyrA-83I;ParC-80I	-	-	ST11	3	3	1	1	1	1	4	5	11	6	5	1	25	37	9	5	5	11	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ERR1216966	Klebsiella pneumoniae	strong	124	235102	472695	5521248	no	-	ST15	1	1	8	11	ybt 10; ICEKp4	28	-	0	-	0	-	0	-	0	-	wzi24	KL24	K24	?-	Good	99.99%	KL24_11_wcaJ,KL24_13_wcuG	O1/O2v1	O1ab	none	Very high	98.52%		aac(6')-Ib-cr.v2;aph3-Ia.v1^;strA.v1^;strB.v1	-	-	-	-	mphA	CatB4.v1?	-	sul2	tet(A).v1*	-	-	OXA-1;TEM-1D.v1^	-	CTX-M-15	-	-	SHV-28^	-	OmpK36-19%	-	GyrA-83F;GyrA-87A;ParC-80I	-	-	ST15	1	1	1	1	1	1	1	16	12	4	3	3	35	50	3	10	23	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ERR1216967	Klebsiella pneumoniae	strong	74	287259	857377	5240038	no	-	ST6	1	0	0	0	ybt 14; ICEKp5 (truncated)	376-1LV	-	0	-	0	-	0	-	0	-	wzi7	KL7	K7	none	Very high	98.53%		O1/O2v1	O1ab	none	Very high	98.62%		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	SHV-1	-	-	-	-	-	-	ST6	2	10	1	1	14	3	20	4	4	5	4	1	8*-77%	8	2	4	4	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ERR1216968	Klebsiella pneumoniae	strong	94	273342	954654	5608859	no	-	ST392	1	2	8	11	ybt 13; ICEKp2	299-1LV	-	0	-	0	-	0	-	0	-	wzi187	KL27	K27	none	Very high	99.28%		O4	O4	none	Very high	99.71%		aac(3)-IIa.v1^;aac(6')-Ib-cr.v2;strA.v1^;strB.v1	-	-	-	-	-	CatB4.v1?	-	sul2	-	-	dfrA14.v2*	OXA-1;TEM-1D.v1^	-	CTX-M-15	-	OXA-48	SHV-11^	35Q	-	-	GyrA-83I;ParC-80I	-	-	ST392	3	4	6	1	7	4	40	6	4	20	14	1	126	365	2	4	52	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ERR1216969	Klebsiella pneumoniae	strong	130	225241	805321	5693237	no	-	ST14	1	1	6	7	ybt 9; ICEKp3	174-1LV	-	0	-	0	-	0	-	0	-	wzi2	KL2	K2	none	Very high	99.75%		O1/O2v1	O1ab	none	Very high	99.99%		strA.v1^;strB.v1	-	-	qnrB1.v2^	-	-	-	-	sul2	tet(D)	-	dfrA14.v2*	-	-	CTX-M-15	-	-	SHV-1^	-	OmpK35-17%;OmpK36-4%	-	GyrA-83Y	-	-	ST14	1	6	1	1	1	1	1	5	11	6	5	1	321	15	9	5	5	11	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ERR1216970	Klebsiella pneumoniae	strong	85	273330	1130171	5718639	no	-	ST147	0	3	3	1	-	0	-	0	-	0	-	0	-	0	-	wzi64	KL64	K64	?-	Good	100.00%	KL64_10_wzy	O1/O2v1	O2a	none	Very high	98.64%		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	KPC-2	SHV-11^	35Q	OmpK35-48%;OmpK36GD	MgrB-6%	GyrA-83I;GyrA-87N;ParC-80I	-	-	ST147	3	4	6	1	7	4	38	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ERR1216971	Klebsiella pneumoniae	strong	431	167786	545687	5872720	no	-	ST11	1	1	8	10	ybt 9; ICEKp3	183	-	0	-	0	-	0	-	0	-	wzi50	KL15	K15	none	Very high	99.88%		O4	O4	none	Very high	99.66%		aac(3)-IIa.v1^;aac(6')-Ib-cr.v2;aadA2^;aph3-Ia.v1^	-	-	-	-	mphA	CatB4.v1?	-	sul1	-	-	dfrA12	OXA-1	-	CTX-M-15	-	-	SHV-11	35Q	-	-	GyrA-83I;ParC-80I	-	-	ST11	3	3	1	1	1	1	4	5	11	6	5	1	25	37	9	5	5	11	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ERR1216972	Klebsiella pneumoniae	strong	577	215741	542062	6099896	no	-	ST111	0	1	7	10	-	0	-	0	-	0	-	0	-	0	-	wzi63	KL63	K63	none	Very high	99.35%		O1/O2v2	O1ab	none	Very high	99.29%		aac(3)-IId^;aac(6')-Ib-cr.v2	-	-	qnrB1.v2^	-	-	CatB4.v1?	-	-	tet(B).v2*;tetR	-	dfrA30*	CMY-4.v1;OXA-1	-	CTX-M-15	-	-	SHV-11^	35Q	OmpK35-88%;OmpK36-65%	-	-	-	-	ST111	2	1	5	1	17	4	42	-	-	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	ybtQ_1*-0%;ybtS_109*-0%
ERR1216973	Klebsiella pneumoniae	strong	93	349085	445488	5418257	no	-	ST6	1	0	0	0	ybt 14; ICEKp5	145-1LV	-	0	-	0	-	0	-	0	-	wzi7	KL7	K7	none	Very high	98.53%		O1/O2v1	O1ab	none	Very high	98.60%		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	SHV-1	-	-	-	-	-	-	ST6	2	10	1	1	14	3	20	4	4	5	4	1	8	366	2	4	4	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ERR1216975	Klebsiella pneumoniae	strong	100	417677	1096860	5692546	no	-	ST20	1	0	0	0	ybt 14; ICEKp5	135-1LV	-	0	-	0	-	0	-	0	-	wzi84	KL28	K28	none	Very high	99.17%		O1/O2v2	O1ab	none	Very high	98.39%		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	SHV-187	-	-	-	-	-	-	ST20	2	3	1	1	4	4	4	4	4	18	4	1	322	25	2	4	4	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ERR1216978	Klebsiella pneumoniae	strong	173	300790	600921	5562960	no	-	ST45	1	3	9	13	ybt 10; ICEKp4	78-1LV	-	0	-	0	-	0	-	0	-	wzi121	KL43	K43	?-	Good	99.41%	KL43_15_wcpZ	O1/O2v1	O2a	none	Very high	98.80%		aac(6')-Ib'.v1*;aadA*;strA.v1;strB.v1	-	-	qnrS1	-	-	CatB4.v1?	-	-	tet(A).v1*	-	dfrA14.v2*	OXA-1;OXA-9.v1;TEM-1D.v1^	-	CTX-M-15	-	OXA-48	SHV-1	-	-	MgrB-0%	-	CTX-M-9*-41%	-	ST45	2	1	1	6	7	1	12	3	12	4	11	3	21	18	3	10	16	178	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ERR1216979	Klebsiella grimontii	strong	61	752065	1408551	5641555	no	-	NA	1	1	1	1	ybt unknown	0	-	0	-	0	-	0	-	0	-	-	unknown (KL124)	unknown (KL124)	?-+*	None	73.01%	KL124_02_cpsACP,KL124_08_wctK,KL124_09_wcuP,KL124_10_wclJ,KL124_11_wzy,KL124_12,KL124_13_wcuA,KL124_14_wcaL,KL124_15_wzx,KL124_17_wclK,KL124_18_rmlB,KL124_20_rmlD,KL124_21_rmlC	O1/O2v1	O1ab	-+*	Good	72.16%	O1/O2v1_03_wbbM,O1/O2v1_05_wbbN,O1/O2v1_07_kfoC	-	-	-	-	-	-	-	-	-	-	-	-	-	-	OXY-6-1	-	-	-	-	-	-	-	-	-	NA	-	-	-	-	-	-	-	117*	138*	178*	49*	100*	221*	533*	111*	102*	130*	262*	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ERR1216980	Klebsiella pneumoniae	strong	117	394560	994322	5701641	no	-	ST405	1	1	8	12	ybt 13; ICEKp2	500	-	0	-	0	-	0	-	0	-	wzi424	KL151	unknown (KL151)	-	High	99.22%	KL151_08_wcaJ	O4	O4	none	Very high	99.70%		aac(3)-IIa.v1^;aac(6')-Ib-cr.v2;strA.v1^;strB.v1	-	-	qnrB1.v2^	-	-	CatB4.v1?	-	sul2	tet(A).v1	-	dfrA14.v2*	OXA-1;TEM-1D.v1^	-	CTX-M-15	-	-	SHV-76^	35Q	OmpK36-34%	-	-	-	fosA7*?-0%	ST405	2	1	62	3	10	4	110	6	4	131	134	1	323	367	2	4	4	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ERR1216981	Klebsiella pneumoniae	strong	71	346244	817849	5173584	no	-	ST1804	0	1	2	2	-	0	-	0	-	0	-	0	-	0	-	wzi281	KL38	K38	none	Very high	99.68%		O3b	O3b	none	Very high	99.13%		-	-	-	qnrS1	-	-	-	-	-	-	-	-	-	-	CTX-M-15	-	-	SHV-82*	172T;35Q;omega-loop=RWETELNETLPGDARD	OmpK36-10%	-	-	-	-	ST1804	2	1	11	1	9	10	61	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ERR1216982	Klebsiella pneumoniae	strong	108	306620	788926	5506269	no	-	ST11	1	0	8	13	ybt 10; ICEKp4	26	-	0	-	0	-	0	-	0	-	wzi75	KL105	unknown (KL105)	?	Good	100.00%		O1/O2v2	O2afg	none	Very high	98.36%		aac(6')-Ib-cr.v2^;aadA2^;aph3-Ia.v1^	-	-	qnrB4	-	mphA	catA1^;catB3.v2	arr-3	sul1;sul1	-	-	dfrA12	DHA-1;OXA-1	-	-	-	-	SHV-11	35Q	-	-	GyrA-83I;ParC-80I	-	-	ST11	3	3	1	1	1	1	4	16	12	4	3	3	35	33	3	10	9	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ERR1216983	Klebsiella pneumoniae	strong	1581	17226	121089	6462049	no	-	ST101	1	2	7	10	ybt 9; ICEKp3	183-1LV	-	0	-	0	-	0	-	0	-	-	KL38	K38	?	Good	99.57%		O3b	O3b	none	Very high	99.13%		aac(3)-IIa.v1^;aac(6')-Ib-cr.v2	-	-	qnrS1	-	-	CatB4.v1?	-	-	-	-	dfrA14.v2*	OXA-1;SCO-1;TEM-1D.v1^	-	CTX-M-15	-	OXA-48	SHV-1^	-	OmpK35-17%;OmpK36-10%	-	GyrA-83Y;GyrA-87N;ParC-80I	-	tet(D)?-0%	ST101	2	6	1	5	4	1	6	5	11	6	5	1	25	37	9	5	5	219	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ERR1216984	Klebsiella pneumoniae	strong	81	431483	1254413	5444085	no	-	ST147	1	1	7	8	ybt 16; ICEKp12	280	-	0	-	0	-	0	-	0	-	wzi64	KL64	K64	none	Perfect	100.00%		O1/O2v1	O2a	none	Very high	98.64%		strA.v1;strB.v1	-	-	qnrS1	-	-	-	-	sul1	tet(A).v1	-	dfrA1.v1	TEM-1D.v1^	-	CTX-M-15	-	-	SHV-11^	35Q	OmpK35-7%;OmpK36-0%	-	GyrA-83I;ParC-80I	-	catA1*?-0%	ST147	3	4	6	1	7	4	38	6	15	5	4	11	125	129	2	11	51	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ERR1216985	Klebsiella pneumoniae	strong	58	376430	1093357	5284268	no	-	ST17	0	0	0	0	-	0	-	0	-	0	-	0	-	0	-	wzi417	KL151	unknown (KL151)	none	Very high	99.99%		O5	O5	*	High	94.30%		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	SHV-11^	35Q	-	-	-	-	-	ST17	2	1	1	1	4	4	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ERR1216986	Klebsiella variicola subsp. variicola	strong	88	481407	1415903	5650027	no	-	ST347	3	0	4	5	-	0	-	0	iuc 5	66-1LV	iro 5	38	-	0	-	wzi244	KL14	K14	-*	High	90.80%	KL14_13	O5	O5	none	Very high	99.69%		strA.v1^;strB.v1	-	-	-	-	-	-	-	sul2*	-	-	dfrA5	TEM-1D.v1^	-	-	-	-	LEN-9	-	-	-	-	-	-	ST347	16	24	21	27	47	22	67	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	45	21	33	35	24	23	52	21	19	-	-	-	-
ERR1216987	Klebsiella pneumoniae	strong	108	434558	1003339	5386810	no	-	ST29	0	0	0	0	-	0	-	0	-	0	-	0	-	0	-	wzi85	KL30	K30	-+*	Good	96.56%	KL30_15_wcuG	O1/O2v2	O1ab	none	Very high	99.41%		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	SHV-187	-	-	-	-	-	-	ST29	2	3	2	2	6	4	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ERR1216988	Klebsiella pneumoniae	strong	478	371308	766536	5504799	no	-	ST1805	0	0	6	7	-	0	-	0	-	0	-	0	-	0	-	-	KL48	K48	*	High	94.78%		O3/O3a	O3/O3a	none	Very high	98.30%		aac(6')-Ib-cr.v2;aadA16*	-	-	-	-	mphA	-	arr-3	sul1	-	-	dfrA27	TEM-201*	-	-	-	-	SHV-27	156D	OmpK36-68%	-	-	-	-	ST1805	4	3	1	1	9	27	14	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	ybtX_115*-0%
ERR1216989	Klebsiella pneumoniae	strong	115	181277	411132	5651417	no	-	ST377	1	2	8	10	ybt 16; ICEKp12 (truncated)	277-2LV	-	0	-	0	-	0	-	0	-	wzi173	KL102	unknown (KL102)	none	Very high	99.44%		O1/O2v2	O2afg	none	Very high	98.53%		aac(3)-IIa.v1^;aac(6')-Ib-cr.v2;aadA^	-	-	-	-	-	CatB4.v1?	-	sul1^	-	-	dfrA15.v2	OXA-1;TEM-1D.v1^	-	CTX-M-15	-	OXA-48	SHV-110	156D;35Q	-	-	GyrA-83Y;GyrA-87A;ParC-80I	-	-	ST377	10	20	2	1	9	11	12	6	15	5	4	11	33*-10%	368	2	11	4	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
